sample	spearman_cor	similarity_score	MT	WT	t_statistic	df	p_value	mean_MT	mean_WT	padj	signif	delta_PSI
One_83	0.612405063838445	6.02176548941255	0.147341583535972	0.078763524014702	4.11528446085393	3.32163886708028	0.0213155524772694	0.147341583535972	0.078763524014702	0.0411439733863572	TRUE	0.06857805952127
One_84	0.555229935256922	6.79870479308848	0.483655793084784	0.480546429907584	1.27780594475849	2.67441282539621	0.300952494868353	0.483655793084784	0.480546429907584	0.383310338732583	FALSE	0.00310936317720001
One_85	0.626271234478643	5.47096045734964	0.197464902684775	0.116627890802877	4.55699187790575	2.39412934835032	0.0316998560060007	0.197464902684775	0.116627890802877	0.0568794435801032	FALSE	0.080837011881898
One_86	0.652715967529862	5.18578466740231	0.350546156497776	0.231159433874407	5.6437871855005	3.13665897622448	0.00975381767149777	0.350546156497776	0.231159433874407	0.0224879685203976	TRUE	0.119386722623369
One_87	0.597877103710123	4.63962946775447	0.214798358709417	0.154861707096714	2.40566455476985	2.87977914444806	0.0989820819920757	0.214798358709417	0.154861707096714	0.147143512931504	FALSE	0.059936651612703
One_88	0.633493716839233	6.50121095442878	0.259832774187298	0.167618230097369	3.21851037344045	3.26421622094589	0.0431814026100944	0.259832774187298	0.167618230097369	0.073898070446141	FALSE	0.092214544089929
One_89	0.683306038436482	6.86082854194309	0.323423983081787	0.249335916749155	2.49621157098497	3.31668396731489	0.0799544324185578	0.323423983081787	0.249335916749155	0.123273397351213	FALSE	0.074088066332632
One_9	0.752300096494073	7.9997808066316	0.00917926405886768	0.00327139413127736	7.02831196595756	2.29993931197188	0.0133633405059559	0.00917926405886768	0.00327139413127736	0.028198913440534	TRUE	0.00590786992759032
One_90	0.52034024469946	5.48134401619748	0.135348203784314	0.0886841936236516	2.35465633695243	3.35990847466811	0.0905503006608167	0.135348203784314	0.0886841936236516	0.135733374425137	FALSE	0.0466640101606624
One_91	0.667423528670769	5.71007774847304	0.143073803449645	0.0629753503658644	20.121050733332	3.99290973546004	3.65062032355103e-05	0.143073803449645	0.0629753503658644	0.00146388542082546	TRUE	0.0800984530837806
One_92	0.622529785728829	7.56320629724885	0.371693411140263	0.209556225336308	5.21112125439949	2.22843895027083	0.027635795268333	0.371693411140263	0.209556225336308	0.0507845979469735	FALSE	0.162137185803955
One_93	0.624544388228421	5.22887978372899	0.341811361933792	0.14281354181327	16.2490079021182	3.97332949410295	8.78777586015114e-05	0.341811361933792	0.14281354181327	0.0019678946966593	TRUE	0.198997820120522
One_94	0.66087023307261	4.7903286376647	0.171551078951801	0.241896928334708	-2.1685718050687	3.77029956335489	0.100123961215198	0.171551078951801	0.241896928334708	0.148173651902702	FALSE	-0.070345849382907
One_95	0.459798870317261	6.67671596002128	0.338428436859946	0.197120469861789	5.65237874356876	2.55874658002974	0.0166026647356701	0.338428436859946	0.197120469861789	0.0332053294713402	TRUE	0.141307966998157
One_96	0.606961752626825	3.99101337259232	0.320215809384514	0.254116784598712	2.15018622808499	2.56666180142138	0.13577741995334	0.320215809384514	0.254116784598712	0.192094190729441	FALSE	0.066099024785802
One_97	0.598837502133375	6.65625320696075	0.0977615007761875	0.0438912359897314	7.38764166081541	3.14838901416575	0.00434196160378649	0.0977615007761875	0.0438912359897314	0.0123550293286731	TRUE	0.0538702647864561
One_98	0.441011573023068	5.11513516451137	0.0693067924203329	0.0218244628234206	5.54947462607904	3.86227934322682	0.00571570058225716	0.0693067924203329	0.0218244628234206	0.0149027167013826	TRUE	0.0474823295969123
One_99	0.581250468322802	6.41538888187947	0.03347957978639	0.0225897096511833	1.88807122016648	3.83122044345822	0.135182117108543	0.03347957978639	0.0225897096511833	0.192094190729441	FALSE	0.0108898701352067
Two_1	0.648685048921736	7.67606427142313	0.364868227691633	0.290335101925919	1.94817408566849	3.05326742986064	0.144931392292964	0.364868227691633	0.290335101925919	0.202741104949146	FALSE	0.074533125765714
Two_10	0.671255039186263	7.05402767771189	0.24891632995805	0.130846710335429	23.5206358814286	3.43846641854127	6.38657506727931e-05	0.24891632995805	0.130846710335429	0.00167395493868689	TRUE	0.118069619622621
Two_100	0.504646016436208	5.73299937690694	0.16736508989991	0.0704342962292111	9.82915685421269	3.99997739948301	0.000600771131459745	0.16736508989991	0.0704342962292111	0.00404302734414802	TRUE	0.0969307936706989
Two_101	0.711563197312565	7.11863044363044	0.32329525952044	0.138574780890641	12.3619896596598	3.99743489298088	0.000247004893315241	0.32329525952044	0.138574780890641	0.00278649608125234	TRUE	0.184720478629799
Two_102	0.577323775039714	5.34466042972522	0.193610672699781	0.122876783554863	3.15817851962795	3.91827099287735	0.0352388776739148	0.193610672699781	0.122876783554863	0.0620104631858996	FALSE	0.070733889144918
Two_103	0.659444276117201	6.51703061679238	0.340965877823053	0.193092886633718	9.10325169097428	3.97728618180097	0.000829345541338783	0.340965877823053	0.193092886633718	0.00453861625919466	TRUE	0.147872991189335
