sample	annot	name	MT	WT	delta_PSI	delta_PSI_pct	p_value	padj	signif
46	One_14	Branch_Point	Rep_One_MAP_mut_BP_1_8	0.108856655939204	0.0862001453587935	0.0226565105804103	2.26565105804104	0.656027111728163	0.719606831807544	FALSE
47	One_140	GC_to_AT_50pct_2	Rep_One_GC_to_AT_MAP_50pct_mutant_2	0.343804816645527	0.236561083540949	0.107243733104578	10.7243733104578	0.194983920177291	0.266032855474769	FALSE
48	One_141	GC_to_AT_50pct_3	Rep_One_GC_to_AT_MAP_50pct_mutant_3	0.00936507659606995	0.00392332531370845	0.0054417512823615	0.54417512823615	0.00291462171685028	0.00947383229552192	TRUE
49	One_142	GC_to_AT_50pct_4	Rep_One_GC_to_AT_MAP_50pct_mutant_4	0.254205603941917	0.131457834293567	0.12274776964835	12.274776964835	0.0107459712192417	0.0239977294492483	TRUE
50	One_143	GC_to_AT_50pct_5	Rep_One_GC_to_AT_MAP_50pct_mutant_5	0.161950824629378	0.0557383763105734	0.106212448318804	10.6212448318804	1.82022017854199e-05	0.00146388542082546	TRUE
51	One_144	16to24_C3SS_Disrupted	Rep_One_MAP_16to24_C3SS_Disrupted	0.248627728433348	0.161425301319844	0.0872024271135045	8.72024271135045	0.0424466085415167	0.0731670917380901	TRUE
52	One_145	16to24_C3SS_Restored	Rep_One_MAP_16to24_C3SS_Restored	0.457121276055608	0.477923565748409	-0.0208022896928012	-2.08022896928012	0.320730267320926	0.402326632558744	FALSE
53	One_146	150_2_155_disrupted	Rep_One_MAP_150_2_155_disrupted	0.179574030823675	0.195898566024967	-0.0163245352012921	-1.63245352012921	0.691421855045471	0.753523181814015	FALSE
54	One_147	150_2_155_Restored	Rep_One_MAP_150_2_155_Restored	0.471209384446858	0.479318977038554	-0.00810959259169608	-0.810959259169608	0.541760839455952	0.615974653080055	FALSE
55	One_148	AAA_to_CCC_Disrupted	Rep_One_MAP_AAA_to_CCC_Disrupted	0.314164947919935	0.166705049807339	0.147459898112596	14.7459898112596	0.00704476765314454	0.0173677935211187	TRUE
56	One_149	AAA_to_CCC_Restored	Rep_One_MAP_AAA_to_CCC_Restored	0.454537327079385	0.409557373828176	0.0449799532512087	4.49799532512087	0.0884252277233103	0.133847305186044	FALSE
