sample	mean_C3SS_ratio	delta_C3SS_ratio	t_statistic	df	p_value	p_adj
One_173	0.00308230307777303	-0.0280692629704383	-11.7052918167743	2.04130983770151	0.00669893985270216	0.0149820630857628
One_174	0.02859233696446	-0.00255922908375134	-0.920069368693947	3.27310677245413	0.420208227727012	0.428836733429826
One_175	0.4112031895057	0.380051623457488	11.2160639491474	2.01992682421909	0.00758279543338964	0.0154768758571566
One_176	0.0720567351789367	0.0409051691307253	16.4956270329208	2.31952720563447	0.00186392585070528	0.00666454063165844
One_177	0.362134257031203	0.330982690982991	23.2054292619445	2.11503432079377	0.00139290011364334	0.00553817085184594
One_178	0.151763170691706	0.120611604643495	16.9774457714807	2.50034068242664	0.00120042021356131	0.00501351971546196
One_179	0.00914823726335532	-0.022003328784856	-9.16040175425938	2.05482134781694	0.01074144049692	0.0180678209431844
One_18	0.173899667561794	0.142748101513583	9.37742331597915	2.10065752332508	0.00953007611934503	0.0168025043103624
One_180	0.494697576747025	0.463546010698814	190.383207318094	2.16604142069351	1.29181887591015e-05	0.000178482559298404
One_181	0.0529029391856405	0.0217513731374292	2.3644648624074	2.28692766856792	0.125884236619865	0.13903214577794
One_182	0.00662818367723036	-0.024523382370981	-9.81251841836365	2.38593786754732	0.00553541453441533	0.0137372710437857
One_183	0.0347196379920838	0.00356807194387248	1.27616040051938	3.31104105161097	0.284057798894338	0.294118179271846
One_184	0.00208515982763561	-0.0290664062205758	-12.1294818926583	2.03573799117027	0.00629853647047034	0.01455987267825
One_185	0.214516483438668	0.183364917390456	5.48834140498846	2.02049997616567	0.0309277696160931	0.0398215064746069
One_186	0.157081219477502	0.125929653429291	2.65329876750859	2.01013227832321	0.116913235246022	0.129700620351055
One_187	0.290622871138074	0.259471305089862	30.0877152220873	2.32923014320897	0.000452987015161172	0.00244711463625111
One_188	0.0560475873427818	0.0248960212945705	6.23814608828389	3.69889746389059	0.00434924819105675	0.0115592318232899
One_189	0.0898182757048048	0.0586667096565934	7.53620874987509	2.41021289016974	0.00991783049198158	0.0171151449809543
One_19	0.0546087151797599	0.0234571491315485	6.2608685789176	3.86194588908583	0.00373053420471737	0.0107795087194449
One_190	0.0494900921807601	0.0183385261325488	7.66542727024701	2.02236188103203	0.0160822396675059	0.0236931928522151
One_191	0.164128273678811	0.1329767076306	10.6733228319521	2.15203309040491	0.00668559231646102	0.0149820630857628
One_192	0.212903063663645	0.181751497615433	22.6333600196845	2.38363314523047	0.000771666231861124	0.00361809544561301
One_193	0.262041111313972	0.23088954526576	6.51827396562821	2.01822707917257	0.0222221017854853	0.0305093496889121
One_194	0.214993442234761	0.183841876186549	6.98939369429312	2.03317742767453	0.0190122928914119	0.0269974559058049
One_195	0.216894880933115	0.185743314884904	5.68840690212375	2.0214665296137	0.0288336806895867	0.0380115100868027
One_196	0.257473722484133	0.226322156435921	19.2782685693715	2.17198380066851	0.001809576088104	0.00661293614549771
One_197	0.297413078088721	0.266261512040509	11.0034645036745	2.03925882084054	0.00761607060203386	0.0154768758571566
One_198	0.309392792354909	0.278241226306698	13.2981166774702	2.05267931168791	0.00506389159395325	0.0129729593927565
